month,cost,forecast
2022-05,6450131.84,24143585.752698217
2022-06,23646893.21,22286836.334994517
2022-07,24289545.02,23596702.934342556
2022-08,24603480.93,23478896.272745498
2022-09,23129781.91,22796885.585486546
2022-10,23927400.88,23696316.39190806
2022-11,23995501.29,23320720.25424186
2022-12,24208531.62,23507921.14326589
2023-01,24596591.29,23560241.938459143
2023-02,22366188.51,22038578.74879076
2023-03,24340128.58,23823892.87762388
2023-04,23513222.26,22997607.99331058
2023-05,24561679.57,22184736.069334835
2023-06,23473062.87,23109916.896091055
2023-07,24334138.63,24322535.56609884
2023-08,24199541.37,24232326.525981165
2023-09,23565181.64,23431398.38385885
2023-10,24567088.9,24321257.130562656
2023-11,23454647.31,24000827.500716016
2023-12,24250068.94,24148769.743261416
2024-01,23869948.58,24218003.56966602
2024-02,22948134.56,22572373.372619495
2024-03,24492402.17,24383863.207873963
2024-04,23618227.99,23545367.885329153
2024-05,24476828.45,22909737.493051942
2024-06,23242407.58,23597853.420958217
2024-07,24872035.46,24747065.07248108
2024-08,24621669.5,24658753.5211503
2024-09,23715108.13,23876658.919493355
2024-10,24437107.59,24767615.37529953
2024-11,23240756.23,24343237.445046682
2024-12,24881257.53,24535322.13209705
2025-01,24368499.51,24568565.49509601
2025-02,21302067.7,23003861.313502893
2025-03,24357521.77,24701856.149677314
2025-04,23382984.05,23838650.283495672
2025-05,18053886.52,23331871.15966279
