month,cost,forecast
2022-05,1362943.66,4904024.561764518
2022-06,4843018.8,4444028.705363416
2022-07,4870857.32,4829059.478666361
2022-08,4823631.23,4680911.404901823
2022-09,4643715.42,4551915.9566870015
2022-10,4710795.55,4669932.414974503
2022-11,4849402.52,4750553.025872675
2022-12,4737999.79,4605736.920785767
2023-01,4941830.8,4717722.192950709
2023-02,4519703.08,4420920.373596232
2023-03,4936034.65,4839709.032508825
2023-04,4726384.46,4571536.019309743
2023-05,5025712.36,4507259.584574137
2023-06,4781602.06,4619530.807633311
2023-07,4898473.45,4961210.458937268
2023-08,4812079.72,4821986.438692299
2023-09,4684837.05,4684113.358421167
2023-10,4788888.89,4795586.221278868
2023-11,4822856.6,4882541.236919211
2023-12,4764209.48,4736796.18552114
2024-01,4763503.56,4855856.248238224
2024-02,4579705.14,4534744.410706117
2024-03,4991474.29,4952367.997433886
2024-04,4657910.0,4689069.49785923
2024-05,4931605.89,4655535.22390768
2024-06,4530338.9,4721850.602041912
2024-07,5144318.47,5026038.994922753
2024-08,4910940.78,4899739.927760411
2024-09,4750426.67,4764033.767310043
2024-10,4863471.33,4874363.990404861
2024-11,4607950.97,4955893.497501749
2024-12,4841421.75,4807192.905688657
2025-01,4832251.48,4913947.334002828
2025-02,4312107.81,4607134.857481366
2025-03,4882138.45,5009632.694739642
2025-04,4687233.04,4731311.814074533
2025-05,3567803.62,4727749.964337915
