month,cost,forecast
2022-05,1300428.25,4893250.37643813
2022-06,4699265.89,4489230.106967805
2022-07,4819127.93,4664479.796996358
2022-08,4953824.57,4595640.562999039
2022-09,4621017.23,4541542.011367874
2022-10,4674229.04,4835894.018240128
2022-11,4897652.44,4665966.62483755
2022-12,4805457.08,4693516.606801069
2023-01,4886672.67,4702217.39345984
2023-02,4622173.86,4448237.965335387
2023-03,4791510.88,4637852.5566673055
2023-04,4733430.98,4683403.637507171
2023-05,4982459.05,4611835.536467299
2023-06,4717361.63,4630312.330980248
2023-07,4754243.81,4798555.190049267
2023-08,4779438.62,4737196.794353867
2023-09,4691342.22,4652493.346683483
2023-10,4967157.25,4929886.890795991
2023-11,4593534.46,4796355.230780757
2023-12,4864847.64,4799141.785868475
2024-01,4788822.78,4811882.159745292
2024-02,4519884.67,4549539.075509936
2024-03,4702069.05,4730080.550084763
2024-04,4846490.56,4761552.094702134
2024-05,4940075.4,4713758.201174618
2024-06,4675882.36,4707222.066615167
2024-07,4962573.2,4861815.869699834
2024-08,4761151.44,4812519.690013365
2024-09,4698730.43,4723989.144901714
2024-10,5000216.48,4998807.952829067
2024-11,4728078.14,4847457.363471445
2024-12,4855330.54,4872184.944545369
2025-01,4757394.92,4875595.407738348
2025-02,4293076.61,4608954.144328221
2025-03,4982788.57,4777770.88908455
2025-04,4610179.85,4826330.608808807
2025-05,3790315.11,4775723.843403952
