month,cost,forecast
2022-05,969340.74,3622605.306627524
2022-06,3497112.07,3413223.633004058
2022-07,3598011.2,3520707.94776475
2022-08,3598915.06,3486698.7482613483
2022-09,3525271.33,3363990.931471995
2022-10,3421822.42,3398355.3274295316
2022-11,3591717.72,3531668.9081489826
2022-12,3587463.55,3520254.162311319
2023-01,3557600.05,3344783.214050156
2023-02,3294665.53,3234897.0171930846
2023-03,3604718.05,3541264.8307523746
2023-04,3491079.38,3393615.7484793197
2023-05,3611431.52,3369107.3304786673
2023-06,3552360.1,3560068.525892989
2023-07,3627248.37,3665084.168382507
2023-08,3592118.93,3631735.4772159094
2023-09,3622954.22,3509415.014217627
2023-10,3627689.36,3529075.3264158606
2023-11,3608566.84,3670697.7298371904
2023-12,3697676.48,3656404.224291834
2024-01,3372824.22,3496131.2997002536
2024-02,3398977.62,3357669.9783034744
2024-03,3685378.53,3664367.687167002
2024-04,3483847.74,3519129.604342158
2024-05,3833626.37,3504569.095004122
2024-06,3675346.51,3673874.516786895
2024-07,3806410.35,3776729.943993625
2024-08,3758212.72,3746599.8347644573
2024-09,3459303.27,3642854.500656218
2024-10,3507080.14,3649266.9840786015
2024-11,3441032.93,3764528.0291997017
2024-12,3733531.37,3749777.0123764235
2025-01,3665443.76,3569625.893975142
2025-02,3283008.65,3456655.145529379
2025-03,3612569.61,3751962.7452385947
2025-04,3741677.02,3593573.733140871
2025-05,2630594.02,3623284.2150620855
