month,cost,forecast
2022-05,613007.42,2419834.282698547
2022-06,2335713.32,2310207.220784755
2022-07,2466988.46,2493969.8074752474
2022-08,2356032.42,2426214.487816614
2022-09,2394635.68,2283845.5984235727
2022-10,2517004.82,2414652.1199642047
2022-11,2418059.95,2371540.3922318164
2022-12,2433985.65,2364568.3532978687
2023-01,2649955.87,2558699.4002672397
2023-02,2237075.11,2242288.528729998
2023-03,2447997.66,2480489.880143734
2023-04,2398953.48,2365510.4988042912
2023-05,2514922.44,2267905.774504818
2023-06,2252205.85,2298774.747170123
2023-07,2451962.88,2478446.8607392292
2023-08,2395149.62,2407623.950931884
2023-09,2323442.38,2278405.8381937244
2023-10,2396391.91,2408284.191180693
2023-11,2289068.76,2360633.2961418233
2023-12,2335327.46,2354698.3514955626
2024-01,2515928.08,2549937.694096101
2024-02,2306703.14,2226044.2720655496
2024-03,2574505.69,2462736.317175569
2024-04,2388760.49,2353164.5005332544
2024-05,2329408.98,2270749.6769800154
2024-06,2392749.83,2279811.3721641465
2024-07,2561213.58,2461708.6206432134
2024-08,2476087.65,2392511.538787861
2024-09,2264260.4,2267861.3035954516
2024-10,2458840.01,2393450.677711256
2024-11,2299429.52,2341945.458106792
2024-12,2531244.24,2339865.5076355888
2025-01,2510699.31,2535118.583100082
2025-02,2150756.29,2219423.150072045
2025-03,2481535.39,2457579.944372783
2025-04,2469178.03,2342155.572817811
2025-05,1735563.34,2261837.335855881
