month,cost,forecast
2022-05,1865595.99,7123818.945443496
2022-06,7155527.97,6573801.872665928
2022-07,7361355.91,7009362.325832537
2022-08,7619704.6,7148476.31544604
2022-09,6767021.63,6917653.308631112
2022-10,7340760.0,7231688.884283505
2022-11,7043639.81,6905380.268805986
2022-12,7362211.76,7162453.935458902
2023-01,7322402.06,7076382.380191653
2023-02,6505417.95,6567074.736561058
2023-03,7301256.16,7157917.435311388
2023-04,7032642.91,6952933.770120597
2023-05,7210429.93,6752808.163461033
2023-06,7032735.94,6837950.877519584
2023-07,7479791.43,7245698.013303512
2023-08,7377317.47,7391584.660504344
2023-09,7063658.71,7101109.474638349
2023-10,7526941.65,7440265.606250468
2023-11,7021167.0,7117768.793357368
2023-12,7396246.49,7371911.921747319
2024-01,7202878.2,7283978.472598834
2024-02,6945030.85,6741893.082616109
2024-03,7328550.5,7359418.855453293
2024-04,7175939.89,7144704.527888455
2024-05,7290503.65,6970109.462891345
2024-06,6781145.55,7033056.615023616
2024-07,7148075.44,7426102.199449398
2024-08,7469820.18,7534094.34486033
2024-09,7246234.96,7239727.745923938
2024-10,7384891.23,7588953.74127037
2024-11,6997802.93,7241474.536962161
2024-12,7490892.05,7497046.443034491
2025-01,7352036.73,7399680.162374988
2025-02,6172871.39,6877507.587329106
2025-03,7199326.54,7439958.776437719
2025-04,6670873.35,7218295.036538121
2025-05,5408482.27,7036484.327654031
